rank,stadium,capacity,region,country,city,images,home_team,location
173,Ibrox Stadium,50817,Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Rangers-SM_%281%29.jpg/250px-Rangers-SM_%281%29.jpg,Rangers FC,"[55.861155, -4.2501687]"
174,Shizuoka Stadium,50889,East Asia,Japan,"Fukuroi, Shizuoka",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Ecopa030304.jpg/250px-Ecopa030304.jpg,"Júbilo Iwata, Shimizu S-Pulse, Shizuoka Blue Revs","[34.7501492, 137.9246962]"
175,Ernst-Happel-Stadion,50865,Europe,Austria,Vienna,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg/250px-EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg,Austria national football team,"[48.2083537, 16.3725042]"
176,Huntington Bank Stadium,50805,North America,United States,Minneapolis,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/MNUFCTCF.jpeg/250px-MNUFCTCF.jpeg,Minnesota Golden Gophers football,"[44.9772995, -93.2654692]"
177,Hocine Ait Ahmed Stadium,50766,Africa,Algeria,Tizi Ouzou,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Tizi_Ouzou_Stadium_at_night.jpg/250px-Tizi_Ouzou_Stadium_at_night.jpg,JS Kabylie,"[36.6816175, 4.237186]"
178,Estadio Cuauhtémoc,50754,North America,Mexico,Puebla,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Rampa_norte.jpg/250px-Rampa_norte.jpg,Puebla FC,"[18.833333, -98.0]"
179,Strawberry Arena,50653,Europe,Sweden,Solna,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/FriendsArena_SwedenSpain.jpg/250px-FriendsArena_SwedenSpain.jpg,"Sweden men's national football team, AIK Fotboll","[59.366667, 18.016667]"
180,Ülker Stadyumu,50509,West Asia,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sukrusaracoglu.jpg/250px-Sukrusaracoglu.jpg,Fenerbahçe,"[41.006381, 28.9758715]"
181,Stade Pierre-Mauroy,50186,Europe,France,Villeneuve-d'Ascq,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Mauroy_Stadium_Eurobasket_2015.JPG/250px-Mauroy_Stadium_Eurobasket_2015.JPG,Lille OSC,"[50.6193174, 3.1314002]"
182,Stade Roi Baudouin,50122,Europe,Belgium,Brussels,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Stade_Roi_Baudouin.JPG/250px-Stade_Roi_Baudouin.JPG,Belgium national football team,"[50.8465573, 4.351697]"
183,Shaanxi Province Stadium,50100,East Asia,China,"Xi'an, Shaanxi",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[34.261004, 108.9423363]"
184,Ajinomoto Stadium,50100,East Asia,Japan,"Chofu, Tokyo",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ajinomoto_Stadium_2018-13.jpg/250px-Ajinomoto_Stadium_2018-13.jpg,"FC Tokyo, Tokyo Verdy, Tokyo Sungoliath, Toshiba Brave Lupus Tokyo","[35.6506036, 139.5407066]"
185,Estádio do Dragão,50033,Europe,Portugal,Porto,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg/250px-Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg,FC Porto,"[41.1502195, -8.6103497]"
186,Casa de Apostas Arena Fonte Nova,50025,South America,Brazil,"Salvador, Bahia",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Arena_Fonte_Nova_External_View.jpg/250px-Arena_Fonte_Nova_External_View.jpg,EC Bahia,"[-12.9822499, -38.4812772]"
187,Kai Tak Stadium,50000,East Asia,Hong Kong,Kowloon City,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/2024%E5%B9%B410%E6%9C%88-%E5%95%9F%E5%BE%B7%E9%AB%94%E8%82%B2%E5%9C%92.jpg/250px-2024%E5%B9%B410%E6%9C%88-%E5%95%9F%E5%BE%B7%E9%AB%94%E8%82%B2%E5%9C%92.jpg,Hong Kong national football team,"[22.3301595, 114.1899368]"
188,Stade Tata Raphaël,50000,Africa,DR Congo,Kinshasa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"AS Vita Club, DC Motema Pembe","[-4.3196982, 15.3424196]"
189,Stade Olympique de Sousse,50000,Africa,Tunisia,Sousse,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Stade_olympique_de_Sousse.jpg/250px-Stade_olympique_de_Sousse.jpg,Étoile du Sahel,"[35.8288284, 10.6405254]"
190,Rhein­Energie­STADION,50000,Europe,Germany,Cologne,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/FIFA_WM06_Stadion_Koeln.jpg/250px-FIFA_WM06_Stadion_Koeln.jpg,1. FC Köln,"[50.938361, 6.959974]"
191,Harbin Sports City Centre Stadium,50000,East Asia,China,"Harbin, Heilongjiang",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[45.7593633, 126.6276177]"
192,Greenfield International Stadium,50000,South Asia,India,Trivandrum,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Greenfield_International_Stadium_Kerala.jpg/250px-Greenfield_International_Stadium_Kerala.jpg,,"[8.4882267, 76.947551]"
193,EMS Stadium,50000,South Asia,India,Kozhikode,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Kozhikode_EMS_Stadium.jpg/250px-Kozhikode_EMS_Stadium.jpg,"India national football team, Gokulam Kerala FC","[11.2450558, 75.7754716]"
194,KD Singh Babu Stadium,50000,South Asia,India,Lucknow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/K_D_Singh_Babu_Stadium.jpg/250px-K_D_Singh_Babu_Stadium.jpg,,"[26.8381, 80.9346001]"
195,Eden Park,50000,Oceania,New Zealand,Auckland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Auckland_EdenPark.jpg/250px-Auckland_EdenPark.jpg,"Auckland Blues, New Zealand Warriors","[-36.852095, 174.7631803]"
196,Estádio 11 de Novembro,50000,Africa,Angola,Luanda,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Football_stadium_%286178263468%29.jpg/250px-Football_stadium_%286178263468%29.jpg,"Angola national football team, Primeiro de Agosto, Petro Luanda","[-8.8272699, 13.2439512]"
197,Henan Provincial Stadium,50000,East Asia,China,"Zhengzhou, Henan",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[34.7472531, 113.619321]"
198,Jiangxi Olympic Sports Center,50000,East Asia,China,"Nanchang, Jiangxi",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[28.6472124, 116.0348483]"
199,Max-Morlock-Stadion,50000,Europe,Germany,Nuremberg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Frankenstadion_2.JPG/250px-Frankenstadion_2.JPG,1. FC Nürnberg,"[49.453872, 11.077298]"
200,June 11 Stadium,50000,Africa,Libya,Tripoli,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/11_June_Stadium_BenTaher.jpg/250px-11_June_Stadium_BenTaher.jpg,"Libya, Al-Ahly SC, Al-Ittihad Tripoli, Al-Madina SC","[32.896672, 13.1777923]"
201,Xinjiang Sports Centre Stadium,50000,East Asia,China,"Urumqi, Xinjiang",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[43.8244074, 87.6139038]"
202,Kim Il-sung Stadium,50000,East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/North_Korea_v_Philippines%2C_8_October_2015_F.png/250px-North_Korea_v_Philippines%2C_8_October_2015_F.png,Pyongyang City Sports Club,"[39.0167979, 125.7473609]"
203,EDION Stadium Hiroshima,50000,East Asia,Japan,Hiroshima,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Big_Arch_Stadium_Panorama.jpg/250px-Big_Arch_Stadium_Panorama.jpg,Sanfrecce Hiroshima,"[34.3917241, 132.4517589]"
204,Pars Shiraz Stadium,50000,West Asia,Iran,Shiraz,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Pars_Stadium_Photos_Image_6.jpg/250px-Pars_Stadium_Photos_Image_6.jpg,Fajr Sepasi Shiraz FC,"[29.6060218, 52.5378041]"
205,Stade du 26 mars,50000,Africa,Mali,Bamako,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Stade_du_26-mars.png/250px-Stade_du_26-mars.png,Stade Malien,"[12.649319, -8.000337]"
206,Stade Abdoulaye Wade,50000,Africa,Senegal,Dakar,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Senegal national football team,"[14.693425, -17.447938]"
207,Sultan Mizan Zainal Abidin Stadium,50000,Southeast Asia,Malaysia,Kuala Terengganu,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Sultan_Mizan_Zainal_Abidin_Stadium_%28Night%29_2021.jpg/250px-Sultan_Mizan_Zainal_Abidin_Stadium_%28Night%29_2021.jpg,Terengganu FA,"[5.3296461, 103.1383265]"
208,Estadio Akron,49850,North America,Mexico,Guadalajara,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Omnilife_Stadium.png/250px-Omnilife_Stadium.png,C.D. Guadalajara,"[20.6720375, -103.338396]"
209,Levy Mwanawasa Stadium,49800,Africa,Zambia,Lusaka,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Zesco United,"[-15.4163395, 28.2818414]"
210,Fritz-Walter-Stadion,49780,Europe,Germany,Kaiserslautern,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Kaiserslautern_18.JPG/250px-Kaiserslautern_18.JPG,1. FC Kaiserslautern,"[49.4432174, 7.7689951]"
211,Estadio José Amalfitani,49540,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Argentina_A_vs_Inglaterra_A_02.JPG/250px-Argentina_A_vs_Inglaterra_A_02.JPG,CA Vélez Sársfield,"[-34.6095579, -58.3887904]"
212,Camille Chamoun Sports City Stadium,49500,West Asia,Lebanon,Beirut,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_%28Nejmeh_fans%29.png/250px-Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_%28Nejmeh_fans%29.png,"Lebanon national football team, Al Ahed FC, Al Ansar FC, Nejmeh SC","[33.8892265, 35.5025585]"
213,Mestalla,49430,Europe,Spain,Valencia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_%282%29.JPG/250px-CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_%282%29.JPG,Valencia CF,"[39.4697065, -0.3763353]"
214,Miyagi Stadium,49133,East Asia,Japan,"Rifu, Miyagi",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/MiyagiStadiumTrackField.jpg/250px-MiyagiStadiumTrackField.jpg,Vegalta Sendai,"[38.3301406, 140.9753442]"
215,Incheon Munhak Stadium,49084,East Asia,South Korea,Incheon,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Munhak_Stadium_Corner.jpg/250px-Munhak_Stadium_Corner.jpg,,"[37.456, 126.7052]"
216,Heinz-von-Heiden-Arena,49000,Europe,Germany,Hanover,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/HDI_Arena%2C_WM_Stadion_2006.jpg/250px-HDI_Arena%2C_WM_Stadion_2006.jpg,Hannover 96,"[52.3744779, 9.7385532]"
217,Parc des Princes,48712,Europe,France,Paris,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/PSG-Nantes_Parc_des_Princes_05.jpg/250px-PSG-Nantes_Parc_des_Princes_05.jpg,Paris Saint-Germain,"[48.8588897, 2.320041]"
218,Stadium of Light,48707,Europe,England,"Sunderland, Tyne and Wear",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Stadium_of_Light%2C_Sunderland_afc.jpg/250px-Stadium_of_Light%2C_Sunderland_afc.jpg,Sunderland AFC,"[54.8757595, -1.4863817]"
219,Estadio Nacional,48665,South America,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Adios_Matador.jpg/250px-Adios_Matador.jpg,"Chile national football team, CF Universidad de Chile","[-33.4377756, -70.6504502]"
220,Nelson Mandela Bay Stadium,48459,Africa,South Africa,"Port Elizabeth, Eastern Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg/250px-Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg,Chippa United FC,"[-33.9618598, 25.6186731]"
221,Estadio Tomás Adolfo Ducó,48314,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Estadio_huracan_interior_tribuna_gcba.jpg/250px-Estadio_huracan_interior_tribuna_gcba.jpg,CA Huracán,"[-34.6095579, -58.3887904]"
222,Jinnah Sports Stadium,48200,South Asia,Pakistan,Islamabad,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Jinnah_Sports_Stadium_track_and_field.jpg/250px-Jinnah_Sports_Stadium_track_and_field.jpg,Pakistan national football team,"[33.6938118, 73.0651511]"
223,Estadio Libertadores de América,48069,South America,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Estadio_Libertadores_de_America_2014.JPG/250px-Estadio_Libertadores_de_America_2014.JPG,Club Atlético Independiente,"[-34.6648394, -58.3628061]"
224,Free State Stadium,48000,Africa,South Africa,"Bloemfontein, Free State",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Free_State_Stadium1.jpg/250px-Free_State_Stadium1.jpg,"Bloemfontein Celtic, Toyota Cheetahs","[-29.116395, 26.215496]"
225,Nagai Stadium,47816,East Asia,Japan,Osaka,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Nagai_stadium20040717.jpg/250px-Nagai_stadium20040717.jpg,"Cerezo Osaka, NTT DoCoMo Red Hurricanes Osaka","[34.6198813, 135.490357]"
226,Neo Química Arena,47605,South America,Brazil,"São Paulo, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg/250px-Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg,Corinthians,"[-23.5506507, -46.6333824]"
227,Rogers Centre,47568,North America,Canada,"Toronto, Ontario",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Toronto_-_ON_-_Rogers_Centre2.jpg/250px-Toronto_-_ON_-_Rogers_Centre2.jpg,"Toronto FC, Toronto Argonauts","[43.6534817, -79.3839347]"
228,Estadio Monumental,47347,South America,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Estadio_Monumental_2009.jpg/250px-Estadio_Monumental_2009.jpg,Colo-Colo,"[-33.4377756, -70.6504502]"
229,Stadio Artemio Franchi,47282,Europe,Italy,Florence,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Soccer_in_Florence%2C_Italy%2C_2007.jpg/250px-Soccer_in_Florence%2C_Italy%2C_2007.jpg,ACF Fiorentina,"[43.7697955, 11.2556404]"
230,Estadio Ciudad de Lanús – Néstor Díaz Pérez,47027,South America,Argentina,Lanús,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG/250px-Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG,CA Lanús,"[-34.7073871, -58.3905998]"
231,Estadio Metropolitano Roberto Meléndez,46788,South America,Colombia,Barranquilla,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Estadio_Metropolitano_de_Baranquilla_2011.jpg/250px-Estadio_Metropolitano_de_Baranquilla_2011.jpg,"Colombia national football team, Atlético Junior","[11.0101922, -74.8231794]"
232,Estádio Olímpico Nilton Santos,46831,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg/250px-Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg,Botafogo FR,"[-22.9110137, -43.2093727]"
233,Itaipava Arena Pernambuco,46154,South America,Brazil,"São Lourenço da Mata, Pernambuco",https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Panorama_of_Arena_Pernambuco.jpg/250px-Panorama_of_Arena_Pernambuco.jpg,Náutico,"[-7.9959607, -35.039335]"
234,Arena MRV,46000,South America,Brazil,"Belo Horizonte, Minas Gerais",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg/250px-Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg,C Atlético Mineiro,"[-19.9227318, -43.9450948]"
235,Estádio Paulo Constantino,45954,South America,Brazil,"Presidente Prudente, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg/250px-Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg,Grêmio Prudente,"[-22.1225167, -51.3882528]"
236,Estadio Atanasio Girardot,45739,South America,Colombia,Medellín,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Atanasio_Girardot_Stadium.jpg/250px-Atanasio_Girardot_Stadium.jpg,"Atlético Nacional, Independiente Medellín","[6.2697325, -75.6025597]"
237,Adrar Stadium,45480,Africa,Morocco,Agadir,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Stade-Adrar2019.png/250px-Stade-Adrar2019.png,"Hassania Agadir, Morocco national team","[30.4205162, -9.5838532]"
238,Lukoil Arena,45360,Europe,Russia,Moscow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Match_veteranov_Spartaka_%2813%29.jpg/250px-Match_veteranov_Spartaka_%2813%29.jpg,Spartak Moscow,"[55.625578, 37.6063916]"
239,Grand stade de Marrakech,45240,Africa,Morocco,Marrakesh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Stade_de_marrakech.jpg/250px-Stade_de_marrakech.jpg,"Kawkab Marrakech, Morocco national team","[31.6258257, -7.9891608]"
240,Mandela National Stadium,45202,Africa,Uganda,Kampala,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Mandela_National_Stadium%2C_Uganda.JPG/250px-Mandela_National_Stadium%2C_Uganda.JPG,Uganda national football team,"[0.3177137, 32.5813539]"
241,Tarczyński Arena Wrocław,45105,Europe,Poland,Wrocław,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg/250px-Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg,Śląsk Wrocław,"[51.1263106, 16.9781963]"
242,Kazan Arena,45105,Europe,Russia,Kazan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Poland_v._Colombia_%2842095441565%29.jpg/250px-Poland_v._Colombia_%2842095441565%29.jpg,Rubin Kazan,"[55.7946485, 49.1115022]"
243,Estadio Inca Garcilaso de la Vega,45056,South America,Peru,Cusco,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Estadio_garcilaso_cienciano.jpg/250px-Estadio_garcilaso_cienciano.jpg,"CS Cienciano, Deportivo Garcilaso, Cusco FC","[-13.5170887, -71.9785356]"
244,24 February 1956 Stadium,45000,Africa,Algeria,Sidi Bel Abbès,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Stade_24_F%C3%A9vrier_1956.jpg/250px-Stade_24_F%C3%A9vrier_1956.jpg,USM Bel Abbès,"[34.682268, -0.4357555]"
245,Estádio da Machava,45000,Africa,Mozambique,Maputo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Mozambique national football team,"[-25.966213, 32.56745]"
246,Stadion Gelora Bung Tomo,45000,Southeast Asia,Indonesia,"Surabaya, East Java",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Persebaya Surabaya,"[-7.2462836, 112.7377674]"
247,Stadion Harapan Banga,45000,Southeast Asia,Indonesia,"Banda Aceh, Aceh",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Persiraja, Aceh United","[5.5528455, 95.3192908]"
248,Estadio General Pablo Rojas,45000,South America,Paraguay,Asunción,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Estadio_General_Pablo_Rojas.jpg/250px-Estadio_General_Pablo_Rojas.jpg,Club Cerro Porteño,"[-25.2800459, -57.6343814]"
249,Latakia Sports City Stadium,45000,West Asia,Syria,Latakia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[35.5200185, 35.7781044]"
250,Zibo Sports Centre Stadium,45000,East Asia,China,"Zibo, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[36.8129564, 118.0488401]"
251,Weifang Sports Centre Stadium,45000,East Asia,China,"Weifang, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[36.7070287, 119.1557515]"
252,Yantai Sports Park Stadium,45000,East Asia,China,"Yantai, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[37.461928, 121.4425255]"
253,Stadium Tuanku Abdul Rahman,45000,Southeast Asia,Malaysia,Seremban,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg/250px-Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg,"ATM FA, Negeri Sembilan","[2.723099, 101.9400601]"
254,Stade du Complexe sportif de Fès,45000,Africa,Morocco,Fes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Complexe_sportif_de_F%C3%A8s.jpg/250px-Complexe_sportif_de_F%C3%A8s.jpg,"Wydad de Fès, Maghreb de Fès, Morocco national team","[34.0346534, -5.0161926]"
255,Lagos National Stadium,45000,Africa,Nigeria,Lagos,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Nigeria national football team,"[6.4550575, 3.3941795]"
256,Egyptian Army Stadium,45000,Africa,Egypt,Suez,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[29.974498, 32.537086]"
257,Toyota Stadium,45000,East Asia,Japan,"Toyota City, Aichi",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/JPNxGEO20180623_%283%29.jpg/250px-JPNxGEO20180623_%283%29.jpg,"Nagoya Grampus, Toyota Verblitz","[35.083386, 137.156412]"
258,Zayed Sports City Stadium,45000,West Asia,United Arab Emirates,Abu Dhabi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg/250px-Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg,,"[24.4538352, 54.3774014]"
259,Red Bull Arena,44345,Europe,Germany,Leipzig,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Leipzig_stadium.jpg/250px-Leipzig_stadium.jpg,RB Leipzig,"[51.3406321, 12.3747329]"
260,Estádio Governador Alberto Tavares Silva,44200,South America,Brazil,Teresina,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"River AC, EC Flamengo, Piauí EC, SE Tiradentes, Auto EC","[-5.0874608, -42.8049571]"
261,Estádio Universitário Pedro Pedrossian,44200,South America,Brazil,"Campo Grande, Mato Grosso do Sul",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/0253l.jpg/250px-0253l.jpg,"EC Comercial, Operário FC","[-20.4640173, -54.6162947]"
