rank,stadium,capacity,region,country,city,images,home_team,location
262,Ulsan Munsu Football Stadium,44102,East Asia,South Korea,Ulsan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Munsu_20121110_204310_5.jpg/250px-Munsu_20121110_204310_5.jpg,Ulsan HD FC,"[35.5391697, 129.3119136]"
263,Arena Pantanal,44097,South America,Brazil,"Cuiabá, Mato Grosso",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Arena_Pantanal.jpg/250px-Arena_Pantanal.jpg,"Cuiabá, Mixto EC","[-15.5986686, -56.0991301]"
264,Arena da Amazônia,44000,South America,Brazil,"Manaus, Amazonas",https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Arena_Amaz%C3%B4nia_Manaus.jpg/250px-Arena_Amaz%C3%B4nia_Manaus.jpg,Nacional FC,"[-3.1316333, -59.9825041]"
265,Suwon World Cup Stadium,43959,East Asia,South Korea,Suwon,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/20121003_Suwon_vs_Seoul.jpg/250px-20121003_Suwon_vs_Seoul.jpg,Suwon Samsung Bluewings,"[37.2633325, 127.0287472]"
266,Stadion Utama Riau,43923,Southeast Asia,Indonesia,"Pekanbaru, Riau",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Riau_Main_Stadium_%28cropped%29.JPG/250px-Riau_Main_Stadium_%28cropped%29.JPG,PSPS Pekanbaru,"[0.5262455, 101.4515727]"
267,Estadio Ramón Sánchez Pizjuán,43864,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Sevilla2-1Lega20182.jpg/250px-Sevilla2-1Lega20182.jpg,Sevilla FC,"[37.3886303, -5.9953403]"
268,Allianz Parque,43713,South America,Brazil,"São Paulo, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg/250px-Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg,SE Palmeiras,"[-23.5506507, -46.6333824]"
269,Shandong Provincial Stadium,43700,East Asia,China,"Jinan, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SHANGDONGSPORTS.jpg/250px-SHANGDONGSPORTS.jpg,,"[36.6519754, 117.1138479]"
270,Polsat Plus Arena Gdańsk,43615,Europe,Poland,Gdańsk,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg/250px-Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg,Lechia Gdańsk,"[54.3482907, 18.6540233]"
271,Estadio Pedro Bidegain,43494,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Platea_Este_Nuevo_Gasometro_1.jpg/250px-Platea_Este_Nuevo_Gasometro_1.jpg,CA San Lorenzo de Almagro,"[-34.6095579, -58.3887904]"
272,Stadion Miejski w Poznaniu,43269,Europe,Poland,Poznań,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Stadion_Miejski_w_Poznaniu_2013_panorama.jpg/250px-Stadion_Miejski_w_Poznaniu_2013_panorama.jpg,"Lech Poznań, Warta Poznań","[52.4006632, 16.9197326]"
273,Vasil Levski National Stadium,43230,Europe,Bulgaria,Sofia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Vasil_Levski_National_Stadium_2022.jpg/250px-Vasil_Levski_National_Stadium_2022.jpg,Bulgaria national football team,"[42.6977028, 23.3217359]"
274,Estadio Universidad San Marcos,43000,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/UNMSM_Estadio_San_Marcos_-_2019.png/250px-UNMSM_Estadio_San_Marcos_-_2019.png,Deportivo Universidad San Marcos,"[-12.0459808, -77.0305912]"
275,Ullevi,43000,Europe,Sweden,Gothenburg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Ullevi_stadium%2C_23_june_2018.png/250px-Ullevi_stadium%2C_23_june_2018.png,Sweden women's national football team,"[57.7072326, 11.9670171]"
276,Jinzhou Binhai Sports Centre Stadium,43000,East Asia,China,Jinzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[41.494444, 121.615278]"
277,Estadio General Santander,42901,South America,Colombia,Cúcuta,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Cucuta704.jpg/250px-Cucuta704.jpg,Cúcuta Deportivo,"[8.0776187, -72.4689002]"
278,Villa Park,43205,Europe,England,"Birmingham, West Midlands",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Villa_Stadion_panorama_2016.jpg/250px-Villa_Stadion_panorama_2016.jpg,Aston Villa,"[52.4796992, -1.9026911]"
279,Perak Stadium,42500,Southeast Asia,Malaysia,Perak,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Perak_Stadium.JPG/250px-Perak_Stadium.JPG,Perak FA,"[4.812181, 100.9797908]"
280,Jeonju World Cup Stadium,42477,East Asia,South Korea,Jeonju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg/250px-%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg,Jeonbuk Hyundai Motors FC,"[35.8237631, 127.1472805]"
281,Ligga Arena,42372,South America,Brazil,"Curitiba, Paraná",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Arenadabaixada2.jpg/250px-Arenadabaixada2.jpg,Athletico Paranaense,"[-25.4295963, -49.2712724]"
282,Weserstadion,42358,Europe,Germany,Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Weserstadion_panorama.JPG/250px-Weserstadion_panorama.JPG,SV Werder Bremen,"[53.0758196, 8.8071646]"
283,Denka Big Swan Stadium,42300,East Asia,Japan,"Niigata, Niigata",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bigswan080628.JPG/250px-Bigswan080628.JPG,Albirex Niigata,"[37.9163757, 139.0365062]"
284,Estadio Olimpico Metropolitano de Mérida,42200,South America,Venezuela,Mérida,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Metropolitanodemeridacopamerica.jpg/250px-Metropolitanodemeridacopamerica.jpg,Estudiantes de Mérida,"[8.5816963, -71.1658075]"
285,Daejeon World Cup Stadium,42176,East Asia,South Korea,Daejeon,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Daejeon_World_Cup_Stadium.JPG/250px-Daejeon_World_Cup_Stadium.JPG,Daejeon Citizen,"[36.3497007, 127.3849016]"
286,Matmut ATLANTIQUE,42115,Europe,France,Bordeaux,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/500px_photo_%28165733217%29.jpeg/250px-500px_photo_%28165733217%29.jpeg,FC Girondins de Bordeaux,"[44.841225, -0.5800364]"
287,Helsingin Olympia­stadion,42062,Europe,Finland,Helsinki,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Olympiastadion_2_2020-08-12.jpg/250px-Olympiastadion_2_2020-08-12.jpg,Finland national football team,"[60.1666204, 24.9435408]"
288,Estádio Serra Dourada,42000,South America,Brazil,"Goiânia, Goiás",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Serra_Dourada_Lotado.jpg/250px-Serra_Dourada_Lotado.jpg,"Goiás Esporte Clube, Vila Nova, Atlético Goianiense","[-16.680882, -49.2532691]"
289,Estadio Deportivo Cali,42000,South America,Colombia,Cali,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/SportingCali12.png/250px-SportingCali12.png,Deportivo Cali,"[3.4108435, -76.5812127]"
290,Estadio Modelo Alberto Spencer,42000,South America,Ecuador,Guayaquil,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Estadio_Modelo_Lleno_2007_-_panoramio.jpg/250px-Estadio_Modelo_Lleno_2007_-_panoramio.jpg,"Club Sport Patria, Club Deportivo Everest, Panamá Sporting Club, Rocafuerte Fútbol Club","[-2.2895167, -80.0983887]"
291,Estádio do Zimpeto,42000,Africa,Mozambique,Maputo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Mozambique national football team,"[-25.966213, 32.56745]"
292,Chengdu Sports Centre Stadium,42000,East Asia,China,"Chengdu, Sichuan",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Chengdu_Sports_Center.JPG/250px-Chengdu_Sports_Center.JPG,,"[30.659867, 104.063315]"
293,Royal Bafokeng Stadium,42000,Africa,South Africa,"Phokeng, North West",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Royal_Bafokeng_Stadium%2C_Phokeng.jpg/250px-Royal_Bafokeng_Stadium%2C_Phokeng.jpg,,"[-25.575404, 27.156484]"
294,Estadio Universitario,42000,North America,Mexico,San Nicolás de los Garza,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Estadio_Universitario_Concachampions.jpg/250px-Estadio_Universitario_Concachampions.jpg,Tigres de la UANL,"[25.7558021, -100.289648]"
295,Estadio Brigadier General Estanislao López,42000,South America,Argentina,Santa Fe,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg/250px-Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg,Club Atlético Colón,"[-30.3154739, -61.1645076]"
296,Estadio Marcelo Bielsa,42000,South America,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Estadio_Marcelo_Bielsa.jpg/250px-Estadio_Marcelo_Bielsa.jpg,Newell's Old Boys,"[-32.9593609, -60.6617024]"
297,Stade Geoffroy-Guichard,41965,Europe,France,Saint-Étienne,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/St_Etienne_Stade_Geoffroy_Guichard.jpg/250px-St_Etienne_Stade_Geoffroy_Guichard.jpg,AS Saint-Étienne,"[45.4401467, 4.3873058]"
298,Vodafone Park,41903,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Vodafone_Park_Panorama.jpg/250px-Vodafone_Park_Panorama.jpg,Beşiktaş J.K.,"[41.006381, 28.9758715]"
299,Peter Mokaba Stadium,41733,Africa,South Africa,Polokwane,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Teams_are_warming_up_%284738980575%29.jpg/250px-Teams_are_warming_up_%284738980575%29.jpg,Polokwane City FC,"[-23.9058333, 29.4613889]"
300,Estadio Gigante de Arroyito,41654,South America,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Estadio_Gigante_de_Arroyito.jpg/250px-Estadio_Gigante_de_Arroyito.jpg,Rosario Central,"[-32.9593609, -60.6617024]"
301,Estadio Cachamay,41600,South America,Venezuela,Ciudad Guayana,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/CTE_Chamay_Aereo_Cut.jpg/250px-CTE_Chamay_Aereo_Cut.jpg,"Atlético Club Mineros de Guayana, AC Minervén FC","[8.3223763, -62.6896622]"
302,Estadio de Liga Deportiva Universitaria,41596,South America,Ecuador,Quito,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG/250px-Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG,LDU,"[-0.2201641, -78.5123274]"
303,Allianz Stadium,41507,Europe,Italy,"Turin, Piedmont",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg/250px-Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg,Juventus FC,"[45.0677551, 7.6824892]"
304,Sapporo Dome,41484,East Asia,Japan,"Sapporo, Hokkaido",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Sapporo_Dome_001.jpeg/250px-Sapporo_Dome_001.jpeg,Hokkaido Consadole Sapporo,"[43.061936, 141.3542924]"
305,Stamford Bridge,41663,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg/250px-Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg,Chelsea,"[51.5074456, -0.1277653]"
306,Goyang Stadium,41311,East Asia,South Korea,Goyang,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Goyang_sta_1.JPG/250px-Goyang_sta_1.JPG,,"[37.6581862, 126.8319452]"
307,Estadio Hernando Siles,41143,South America,Bolivia,La Paz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Hernando_Siles_Stadium_-_La_Paz.jpg/250px-Hernando_Siles_Stadium_-_La_Paz.jpg,"La Paz FC, Club Bolívar, The Strongest","[-16.4955455, -68.1336229]"
308,Bingu National Stadium,41100,Africa,Malawi,Lilongwe,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Flames, Big Bullets FC","[-13.9875107, 33.768144]"
309,Mbombela Stadium,40929,Africa,South Africa,"Nelspruit, Mpumalanga",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Mbombela_Stadium_arena.jpg/250px-Mbombela_Stadium_arena.jpg,,"[-25.4729094, 30.9772719]"
310,Estadio José Pachencho Romero,40800,South America,Venezuela,Maracaibo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/JPPachenchoRomero-16.jpg/250px-JPPachenchoRomero-16.jpg,"Deportivo JBL del Zulia, Deportivo Rayo Zuliano","[10.6498095, -71.6443596]"
311,Stade Nelson Mandela,40784,Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Nelson_Mandela_Stadium.jpg/250px-Nelson_Mandela_Stadium.jpg,Algeria national football team,"[36.7729333, 3.0588445]"
312,Kashima Football Stadium,40728,East Asia,Japan,"Kashima, Ibaraki",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kashima_Soccer_Stadium_5.jpg/250px-Kashima_Soccer_Stadium_5.jpg,Kashima Antlers,"[35.9661164, 140.6450292]"
313,Baba Yara Stadium,40528,Africa,Ghana,Kumasi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Kumasi924.JPG/250px-Kumasi924.JPG,"Asante Kotoko, King Faisal Babes","[6.6985605, -1.6233086]"
314,Estádio Major Antônio Couto Pereira,40502,South America,Brazil,"Curitiba, Paraná",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Est%C3%A1dio_Couto_Pereira.jpg/250px-Est%C3%A1dio_Couto_Pereira.jpg,Coritiba Foot Ball Club,"[-25.4295963, -49.2712724]"
315,Stage Front Stadium,40500,Europe,Spain,Barcelona,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Estadicornellaelprat_1.jpg/250px-Estadicornellaelprat_1.jpg,RCD Espanyol,"[41.3825802, 2.177073]"
316,Estadio Metropolitano de fútbol de Lara,40312,South America,Venezuela,Barquisimeto,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Estadio_Metropolitano_de_Lara.jpg/250px-Estadio_Metropolitano_de_Lara.jpg,Unión Lara,"[10.0774374, -69.3222293]"
317,Estadio Malvinas Argentinas,40268,South America,Argentina,Mendoza,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Godoy Cruz Antonio Tomba,"[-34.5970325, -68.7304797]"
318,Stadion Lukas Enembe,40263,Southeast Asia,Indonesia,Nolokla,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Lukas_Enembe_Stadium.jpg/250px-Lukas_Enembe_Stadium.jpg,Persipura Jayapura,"[-2.5833851, 140.5745105]"
319,Gwangju World Cup Stadium,40245,East Asia,South Korea,Gwangju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Gwangju_World_Cup_Stadium.jpg/250px-Gwangju_World_Cup_Stadium.jpg,Gwangju FC,"[35.1594647, 126.8515034]"
320,Sân vận động Quốc gia Mỹ Đình,40192,Southeast Asia,Vietnam,Hanoi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg/250px-Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg,Vietnam national football team,"[21.0283334, 105.854041]"
321,Goodison Park,40157,Europe,England,"Liverpool, North West",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Goodison_Park_August_2022.jpg/250px-Goodison_Park_August_2022.jpg,Everton FC Women,"[53.5635292, -0.0960303]"
322,Estádio Governador João Castelo,40149,South America,Brazil,"São Luís, Maranhão",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg/250px-Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg,"Sampaio Corrêa FC, Moto Club SL, Maranhão AC","[-2.5295265, -44.2963942]"
323,Miloud Hadefi Stadium,40143,Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Stade_de_Oran.jpg/250px-Stade_de_Oran.jpg,"Algeria national football team, MC Oran","[35.7044415, -0.6502981]"
324,Estadio Campeón del Siglo,40005,South America,Uruguay,Montevideo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg/250px-Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg,Club Atlético Peñarol,"[-34.9058916, -56.1913095]"
325,Metalist Stadium,40003,Europe,Ukraine,Kharkiv,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Metalist_Stadium_Kharkiv.jpg/250px-Metalist_Stadium_Kharkiv.jpg,"FC Metalist Kharkiv, FC Shakhtar Donetsk","[49.9923181, 36.2310146]"
326,Anoeta Stadium,40000,Europe,Spain,San Sebastián,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Reale_Arena_Interior.png/250px-Reale_Arena_Interior.png,Real Sociedad,"[43.3224219, -1.9838889]"
327,Al-Janoub Stadium,40000,West Asia,Qatar,Al-Wakrah,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg/250px-Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg,,"[25.1566623, 51.6013212]"
328,Al-Thumama Stadium,40000,West Asia,Qatar,Al-Thumama,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Al_Thumama_Stadium_%282%29.jpg/250px-Al_Thumama_Stadium_%282%29.jpg,,"[25.234937, 51.5614654]"
329,Ahmed Zabana Stadium,40000,Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Stade_Ahmed_Zabana_2.jpg/250px-Stade_Ahmed_Zabana_2.jpg,MC Oran,"[35.7044415, -0.6502981]"
330,Stadion Batakan,40000,Southeast Asia,Indonesia,"Balikpapan, East Kalimantan",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/2017-11-14_Batakan.jpg/250px-2017-11-14_Batakan.jpg,Persiba Balikpapan,"[-1.2398711, 116.8593379]"
331,Ali La Pointe Stadium,40000,Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Stade_ali_la_pointe_douera.jpg/250px-Stade_ali_la_pointe_douera.jpg,MC Alger,"[36.7729333, 3.0588445]"
332,Stadion Gelora Joko Samudro,40000,Southeast Asia,Indonesia,"Gresik, East Java",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Gelora_Joko_Samudro_Stadium_%282016%29.jpg/250px-Gelora_Joko_Samudro_Stadium_%282016%29.jpg,Gresik United,"[-5.7933465, 112.6598223]"
333,Fisht Olympic Stadium,40000,Europe,Russia,Sochi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg/250px-2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg,,"[43.5854823, 39.723109]"
334,Rentschler Field,40000,North America,United States,"East Hartford, Connecticut",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Rentschler_Field_2017.jpg/250px-Rentschler_Field_2017.jpg,,"[41.767914, -72.644512]"
335,Jawaharlal Nehru Stadium,40000,South Asia,India,Kochi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg/250px-Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg,"Kerala Blasters, India national football team","[9.9679032, 76.2444378]"
336,Hang Jebat Stadium,40000,Southeast Asia,Malaysia,Malacca,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Stadium_Hang_Jebat_015342.jpg/250px-Stadium_Hang_Jebat_015342.jpg,Melaka United,"[2.3293744, 102.2880962]"
337,Hong Kong Stadium,40000,East Asia,Hong Kong,So Kon Po,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Hong_Kong_Stadium-1.jpg/250px-Hong_Kong_Stadium-1.jpg,South China AA,"[22.2739671, 114.1886793]"
338,Stadium Negeri Pulau Pinang,40000,Southeast Asia,Malaysia,Batu Kawan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Batu_Kawan_Stadium%2CPenang.jpg/250px-Batu_Kawan_Stadium%2CPenang.jpg,Penang FA,"[5.2625962, 100.4304555]"
339,Accra Sports Stadium,40000,Africa,Ghana,Accra,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Accra Hearts of Oak SC, Great Olympics","[5.5571096, -0.2012376]"
340,Sarawak Stadium,40000,Southeast Asia,Malaysia,Kuching,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Stadium_Sarawak.JPG/250px-Stadium_Sarawak.JPG,Sarawak FA,"[1.5597561, 110.345397]"
341,Bogyoke Aung San Stadium,40000,Southeast Asia,Myanmar,Yangon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Aungsan_Stadium.jpg/250px-Aungsan_Stadium.jpg,Yangon United FC,"[16.7967129, 96.1609916]"
342,Resonac Dome Ōita,40000,East Asia,Japan,Ōita,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/%C5%8Cita_Stadium_2023-03.jpg/250px-%C5%8Cita_Stadium_2023-03.jpg,Ōita Trinita,"[33.1819875, 131.4270217]"
343,Stadium Darul Makmur,40000,Southeast Asia,Malaysia,Kuantan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Stadium_Pahang.jpg/250px-Stadium_Pahang.jpg,Pahang FA,"[3.7985637, 103.32199]"
344,Khalifa International Stadium,40000,West Asia,Qatar,Doha,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Khalifa_International_Stadium.jpg/250px-Khalifa_International_Stadium.jpg,Qatar national football team,"[25.2856329, 51.5264162]"
345,Stade de l’Amitié sino-gabonaise,40000,Africa,Gabon,Libreville,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Gabon national football team,"[0.4086518, 9.4418849]"
346,Peoples Football Stadium,40000,South Asia,Pakistan,Karachi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Pakistan national football team,"[24.8546842, 67.0207055]"
347,JRD Tata Sports Complex Stadium,40000,South Asia,India,Jamshedpur,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/J.R.D._Tata_Stadium.jpg/250px-J.R.D._Tata_Stadium.jpg,"Jamshedpur FC, Tata Football Academy","[22.8015194, 86.2029579]"
348,Bao'an Stadium,40000,East Asia,China,"Shenzhen, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Bao%27an_Stadium.jpg/250px-Bao%27an_Stadium.jpg,,"[22.5445741, 114.0545429]"
349,Kunming Tuodong Sports Centre Stadium,40000,East Asia,China,"Kunming, Yunnan",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Kunming_07.JPG/250px-Kunming_07.JPG,China national football team,"[25.0363006, 102.7086139]"
350,Taizhou Sports Centre Stadium,40000,East Asia,China,"Taizhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[28.6581723, 121.4163876]"
351,Wuhu Olympic Stadium,40000,East Asia,China,"Wuhu, Anhui",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[31.1800568, 118.2141777]"
352,Huizhou Olympic Stadium,40000,East Asia,China,"Huizhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[23.1125153, 114.4127007]"
